;Группа;Артикул;Номенклатура;Модели;ЦЕНА;;
;CHEVROLET;96537108;Бак топливный 1,5 SOHC/1,4 DOHC;AVEO-1, AVEO-2;5320;;6916
;CHEVROLET;96535050;Балка двигателя;AVEO-1, AVEO-2;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96549897;Балка двигателя поперечная (нижняя);LACTT;610;;793
;CHEVROLET;96550045;Балка задняя;LACTT;2880;;3744
;CHEVROLET;96535111;Балка задняя;AVEO;7900;;10270
;CHEVROLET;96550044;Балка задняя в сборе;LACTT;5460;;7098
;CHEVROLET;96387748;Балка задняя в сборе;LAN;9400;;12220
;CHEVROLET;96494500;Балка задняя в сборе;AVEO;7900;;10270
;CHEVROLET;96617314;Балка крыши задняя (вагон);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96545168;Балка крыши задняя (седан);LACTT;1550;;2015
;CHEVROLET;96545155;Балка крыши передняя ;LACTT;650;;845
;CHEVROLET;96617408;Балка крыши центральная (вагон);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96398972;Балка под радиатор;AVEO, AVEO-2;1100;;1430
;CHEVROLET;96331864;Балка под радиатор;LAN;1400;;1820
;CHEVROLET;96561780;Балка подвески передней;LACCT 1,8L;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96549878;Балка подвески передней;LACCT 1,4L, LACCT 1,6L;7260;;9438
;CHEVROLET;96617490;Балка пола задняя;LACTT;1570;;2041
;CHEVROLET;96418991;Балка пола передняя;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96544664;Балка радиатора;LACTT;20301750;;26392275
;CHEVROLET;96599280;Балка радиатора;SPARK;2440;;3172
;CHEVROLET;96838453;Бампер задний (вагон);LACTT;12900;;16770
;CHEVROLET;96617561;Бампер задний (вагон);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96303222;Бампер задний (дэу);LAN;9530;;12389
;CHEVROLET;96543140;Бампер задний (седан);AVEO;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96648646;Бампер задний (седан);AVEO-2;8800;;11440
;CHEVROLET;96543015;Бампер задний (хэчбэк);AVEO;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96545556;Бампер задний (хэчбэк);LACTT;12200;;15860
;CHEVROLET;96545554;Бампер задний 4 N (Шеви);LACTT;11610;;15093
;CHEVROLET;96543014;Бампер задний 5H;AVEO;4650;;6045
;CHEVROLET;96598571;Бампер задний всборе (седан);AVEO;4650;;6045
;CHEVROLET;96277529;Бампер задний седан (шеви);LAN;10920;;14196
;CHEVROLET;96450637;Бампер задний седан (шеви);LAN;9530;;12389
;CHEVROLET;S6720007;Бампер передний;LAN;10600;;13780
;CHEVROLET;S6720008;Бампер передний;LAN;9240;;12012
;CHEVROLET;93740275;Бампер передний (без указат,);AVEO;8860;;11518
;CHEVROLET;93740273;Бампер передний (указат,);AVEO;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;93740293;Бампер передний CHEVROLET (хечбек);LACTT;14400;;18720
;CHEVROLET;93742394;Бампер передний CHEVROLET(седан,вагон);LACTT;14810;;19253
;CHEVROLET;93740289;Бампер передний DAEWOO (седан);LACTT;8550;;11115
;CHEVROLET;93742764;Бампер передний в сборе 06-;AVEO-2;10130;;13169
;CHEVROLET;93740292;Бампера передний в сборе седан --04;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96470999;Барабан тормозной;AVEO;1620;;2106
